tenantName;queryName;timerName;launchTime;startTime;finishTime;relativeLaunchTime;waitingTime;executionTime
tenant1;q86;Timer-0;22:34:58.900;22:34:58.900;22:35:07.531;00:00:00.000;00:00:00.000;00:00:08.631
;q52;Timer-1;22:35:16.000;22:35:16.000;22:35:19.511;00:00:17.100;00:00:00.000;00:00:03.511
;q43;Timer-10;22:36:33.101;22:36:33.102;22:36:34.641;00:01:34.201;00:00:00.001;00:00:01.539
;q15;Timer-11;22:36:33.102;22:36:33.102;22:36:34.835;00:01:34.202;00:00:00.000;00:00:01.733
;q3;Timer-12;22:36:34.302;22:36:34.302;22:36:34.786;00:01:35.402;00:00:00.000;00:00:00.484
;q80;Timer-13;22:36:36.102;22:36:36.102;22:36:40.219;00:01:37.202;00:00:00.000;00:00:04.117
;q37;Timer-14;22:36:38.502;22:36:38.502;22:36:40.546;00:01:39.602;00:00:00.000;00:00:02.044
;q12;Timer-15;22:36:41.202;22:36:41.202;22:36:42.615;00:01:42.302;00:00:00.000;00:00:01.413
;q55;Timer-16;22:36:43.302;22:36:43.302;22:36:44.062;00:01:44.402;00:00:00.000;00:00:00.760
;q12;Timer-17;22:36:44.502;22:36:44.502;22:36:45.632;00:01:45.602;00:00:00.000;00:00:01.130
;q53;Timer-18;22:36:44.801;22:36:44.801;22:36:46.032;00:01:45.901;00:00:00.000;00:00:01.231
;q81;Timer-19;22:36:51.403;22:36:51.403;22:36:52.961;00:01:52.503;00:00:00.000;00:00:01.558
;q97;Timer-2;22:35:54.700;22:35:54.700;22:35:58.443;00:00:55.800;00:00:00.000;00:00:03.743
;q28;Timer-20;22:36:54.102;22:36:54.102;22:36:56.115;00:01:55.202;00:00:00.000;00:00:02.013
;q21;Timer-21;22:36:54.403;22:36:54.403;22:36:56.942;00:01:55.503;00:00:00.000;00:00:02.539
;q63;Timer-22;22:36:57.702;22:36:57.702;22:37:01.529;00:01:58.802;00:00:00.000;00:00:03.827
;q12;Timer-23;22:36:57.703;22:36:57.703;22:37:00.197;00:01:58.803;00:00:00.000;00:00:02.494
;q15;Timer-24;22:36:59.803;22:36:59.803;22:37:01.013;00:02:00.903;00:00:00.000;00:00:01.210
;q21;Timer-25;22:37:04.903;22:37:04.903;22:37:06.248;00:02:06.003;00:00:00.000;00:00:01.345
;q28;Timer-3;22:36:00.100;22:36:00.101;22:36:05.830;00:01:01.200;00:00:00.001;00:00:05.729
;q97;Timer-4;22:36:03.101;22:36:03.101;22:36:08.092;00:01:04.201;00:00:00.000;00:00:04.991
;q96;Timer-5;22:36:04.001;22:36:04.001;22:36:06.559;00:01:05.101;00:00:00.000;00:00:02.558
;q96;Timer-6;22:36:12.100;22:36:12.100;22:36:12.912;00:01:13.200;00:00:00.000;00:00:00.812
;q96;Timer-7;22:36:14.501;22:36:14.501;22:36:14.973;00:01:15.601;00:00:00.000;00:00:00.472
;q55;Timer-8;22:36:26.201;22:36:26.201;22:36:27.031;00:01:27.301;00:00:00.000;00:00:00.830
;q52;Timer-9;22:36:28.001;22:36:28.001;22:36:28.871;00:01:29.101;00:00:00.000;00:00:00.870
tenant2;q50;Timer-26;22:41:46.304;22:41:46.304;22:41:47.464;00:06:47.404;00:00:00.000;00:00:01.160
;q98;Timer-27;22:42:00.704;22:42:00.704;22:42:01.282;00:07:01.804;00:00:00.000;00:00:00.578
;q8;Timer-28;22:42:09.104;22:42:09.104;22:42:09.957;00:07:10.204;00:00:00.000;00:00:00.853
;q4;Timer-29;22:42:43.905;22:42:43.905;22:42:45.628;00:07:45.005;00:00:00.000;00:00:01.723
;q6;Timer-30;22:42:46.604;22:42:46.604;22:42:47.937;00:07:47.704;00:00:00.000;00:00:01.333
;q99;Timer-31;22:42:47.205;22:42:47.205;22:42:47.780;00:07:48.305;00:00:00.000;00:00:00.575
;q56;Timer-32;22:42:49.605;22:42:49.606;22:42:50.512;00:07:50.705;00:00:00.001;00:00:00.906
;q48;Timer-33;22:42:50.206;22:42:50.206;22:42:50.839;00:07:51.306;00:00:00.000;00:00:00.633
;q5;Timer-34;22:42:52.606;22:42:52.606;22:42:53.681;00:07:53.706;00:00:00.000;00:00:01.075
;q58;Timer-35;22:42:53.206;22:42:53.206;22:42:54.131;00:07:54.306;00:00:00.000;00:00:00.925
;q85;Timer-36;22:42:54.406;22:42:54.406;22:42:57.224;00:07:55.506;00:00:00.000;00:00:02.818
;q23;Timer-37;22:42:57.706;22:42:57.706;22:43:02.482;00:07:58.806;00:00:00.000;00:00:04.776
;q16;Timer-38;22:42:57.707;22:42:57.707;22:42:58.028;00:07:58.807;00:00:00.000;00:00:00.321
;q96;Timer-39;22:42:58.307;22:42:58.307;22:42:58.970;00:07:59.407;00:00:00.000;00:00:00.663
;q24;Timer-40;22:42:58.608;22:42:58.608;22:42:59.095;00:07:59.708;00:00:00.000;00:00:00.487
;q25;Timer-41;22:42:59.208;22:42:59.208;22:43:00.973;00:08:00.308;00:00:00.000;00:00:01.765
;q79;Timer-42;22:43:00.408;22:43:00.408;22:43:01.889;00:08:01.508;00:00:00.000;00:00:01.481
;q11;Timer-43;22:43:01.011;22:43:01.011;22:43:02.362;00:08:02.111;00:00:00.000;00:00:01.351
;q93;Timer-44;22:43:40.311;22:43:40.311;22:43:40.440;00:08:41.411;00:00:00.000;00:00:00.129
;q55;Timer-45;22:44:13.911;22:44:13.911;22:44:14.299;00:09:15.011;00:00:00.000;00:00:00.388
;q15;Timer-46;22:44:45.412;22:44:45.412;22:44:45.891;00:09:46.512;00:00:00.000;00:00:00.479
;q13;Timer-47;22:45:22.912;22:45:22.912;22:45:23.562;00:10:24.012;00:00:00.000;00:00:00.650
;q6;Timer-48;22:45:23.512;22:45:23.512;22:45:24.727;00:10:24.612;00:00:00.000;00:00:01.215
;q46;Timer-49;22:45:25.612;22:45:25.612;22:45:26.433;00:10:26.712;00:00:00.000;00:00:00.821
;q47;Timer-50;22:45:25.612;22:45:25.612;22:45:27.866;00:10:26.712;00:00:00.000;00:00:02.254
;q26;Timer-51;22:45:26.512;22:45:26.512;22:45:27.017;00:10:27.612;00:00:00.000;00:00:00.505
;q79;Timer-52;22:45:28.012;22:45:28.012;22:45:28.595;00:10:29.112;00:00:00.000;00:00:00.583
;q35;Timer-53;22:45:30.712;22:45:30.712;22:45:32.218;00:10:31.812;00:00:00.000;00:00:01.506
;q88;Timer-54;22:45:42.713;22:45:42.713;22:45:44.110;00:10:43.813;00:00:00.000;00:00:01.397
;q17;Timer-55;22:45:57.413;22:45:57.413;22:45:59.105;00:10:58.513;00:00:00.000;00:00:01.692
;q18;Timer-56;22:46:00.712;22:46:00.712;22:46:02.174;00:11:01.812;00:00:00.000;00:00:01.462
;q56;Timer-57;22:46:02.813;22:46:02.813;22:46:03.588;00:11:03.913;00:00:00.000;00:00:00.775
;q10;Timer-58;22:46:04.013;22:46:04.013;22:46:05.855;00:11:05.113;00:00:00.000;00:00:01.842
;q16;Timer-59;22:46:04.614;22:46:04.614;22:46:04.850;00:11:05.714;00:00:00.000;00:00:00.236
;q63;Timer-60;22:46:04.614;22:46:04.614;22:46:05.304;00:11:05.714;00:00:00.000;00:00:00.690
;q53;Timer-61;22:46:05.814;22:46:05.814;22:46:06.519;00:11:06.914;00:00:00.000;00:00:00.705
;q3;Timer-62;22:46:05.814;22:46:05.815;22:46:06.263;00:11:06.914;00:00:00.001;00:00:00.448
;q56;Timer-63;22:46:07.015;22:46:07.015;22:46:07.861;00:11:08.115;00:00:00.000;00:00:00.846
;q60;Timer-64;22:46:07.015;22:46:07.015;22:46:07.872;00:11:08.115;00:00:00.000;00:00:00.857
;q49;Timer-65;22:46:07.615;22:46:07.615;22:46:08.507;00:11:08.715;00:00:00.000;00:00:00.892
;q90;Timer-66;22:46:08.815;22:46:08.815;22:46:09.117;00:11:09.915;00:00:00.000;00:00:00.302
;q5;Timer-67;22:46:10.315;22:46:10.315;22:46:11.182;00:11:11.415;00:00:00.000;00:00:00.867
;q46;Timer-68;22:46:13.015;22:46:13.015;22:46:13.742;00:11:14.115;00:00:00.000;00:00:00.727
;q40;Timer-69;22:46:15.715;22:46:15.715;22:46:16.197;00:11:16.815;00:00:00.000;00:00:00.482
;q80;Timer-70;22:46:18.415;22:46:18.415;22:46:19.569;00:11:19.515;00:00:00.000;00:00:01.154
;q33;Timer-71;22:46:20.215;22:46:20.215;22:46:20.970;00:11:21.315;00:00:00.000;00:00:00.755
;q66;Timer-72;22:46:21.415;22:46:21.415;22:46:22.388;00:11:22.515;00:00:00.000;00:00:00.973
;q73;Timer-73;22:46:21.715;22:46:21.715;22:46:22.270;00:11:22.815;00:00:00.000;00:00:00.555
;q70;Timer-74;22:46:22.015;22:46:22.016;22:46:23.119;00:11:23.115;00:00:00.001;00:00:01.103
;q53;Timer-75;22:46:23.216;22:46:23.216;22:46:23.777;00:11:24.316;00:00:00.000;00:00:00.561
;q1;Timer-76;22:46:23.516;22:46:23.516;22:46:23.971;00:11:24.616;00:00:00.000;00:00:00.455
;q95;Timer-77;22:46:25.016;22:46:25.016;22:46:25.352;00:11:26.116;00:00:00.000;00:00:00.336
;q36;Timer-78;22:46:25.316;22:46:25.316;22:46:25.933;00:11:26.416;00:00:00.000;00:00:00.617
;q63;Timer-79;22:46:25.916;22:46:25.916;22:46:26.368;00:11:27.016;00:00:00.000;00:00:00.452
;q18;Timer-80;22:46:27.416;22:46:27.416;22:46:28.685;00:11:28.516;00:00:00.000;00:00:01.269
;q91;Timer-81;22:46:30.416;22:46:30.416;22:46:31.576;00:11:31.516;00:00:00.000;00:00:01.160
;q28;Timer-82;22:46:30.416;22:46:30.417;22:46:31.696;00:11:31.516;00:00:00.001;00:00:01.279
;q74;Timer-83;22:46:30.716;22:46:31.696;22:46:32.846;00:11:31.816;00:00:00.980;00:00:01.150
;q27;Timer-84;22:46:30.717;22:46:31.576;22:46:32.571;00:11:31.817;00:00:00.859;00:00:00.995
;q65;Timer-85;22:46:30.716;22:46:30.716;22:46:31.962;00:11:31.816;00:00:00.000;00:00:01.246
;q81;Timer-86;22:46:33.117;22:46:33.117;22:46:33.677;00:11:34.217;00:00:00.000;00:00:00.560
;q53;Timer-87;22:46:34.617;22:46:34.617;22:46:35.346;00:11:35.717;00:00:00.000;00:00:00.729
;q4;Timer-88;22:46:34.917;22:46:34.917;22:46:36.419;00:11:36.017;00:00:00.000;00:00:01.502
;q62;Timer-89;22:46:40.317;22:46:40.317;22:46:40.689;00:11:41.417;00:00:00.000;00:00:00.372
;q18;Timer-90;22:46:41.217;22:46:41.217;22:46:42.944;00:11:42.317;00:00:00.000;00:00:01.727
;q11;Timer-91;22:46:41.516;22:46:41.516;22:46:42.731;00:11:42.616;00:00:00.000;00:00:01.215
;q58;Timer-92;22:46:42.117;22:46:42.117;22:46:43.010;00:11:43.217;00:00:00.000;00:00:00.893
;q39;Timer-93;22:46:44.518;22:46:44.518;22:46:46.107;00:11:45.618;00:00:00.000;00:00:01.589
;q86;Timer-94;22:46:44.816;22:46:44.816;22:46:45.258;00:11:45.916;00:00:00.000;00:00:00.442
;q53;Timer-95;22:46:45.418;22:46:45.418;22:46:45.839;00:11:46.518;00:00:00.000;00:00:00.421
;q90;Timer-96;22:46:46.018;22:46:46.018;22:46:46.292;00:11:47.118;00:00:00.000;00:00:00.274
;q88;Timer-97;22:46:47.218;22:46:47.218;22:46:48.505;00:11:48.318;00:00:00.000;00:00:01.287
;q31;Timer-98;22:46:48.418;22:46:48.418;22:46:49.299;00:11:49.518;00:00:00.000;00:00:00.881
