TenantId;QueryId;ArrivalOrder;ArrivalTime;ArrivalTimeInterval
2;50;1;13,58;13
2;98;2;14,06;14
2;8;3;14,34;14
2;4;4;15,50;15
2;6;5;15,59;15
2;99;6;15,61;15
2;56;7;15,69;15
2;48;8;15,71;15
2;5;9;15,79;15
2;58;10;15,81;15
2;85;11;15,85;15
2;23;12;15,96;15
2;16;13;15,96;15
2;96;14;15,98;15
2;24;15;15,99;15
2;25;16;16,01;16
2;79;17;16,05;16
2;11;18;16,07;16
2;93;19;17,38;17
2;55;20;18,50;18
2;15;21;19,55;19
2;13;22;20,80;20
2;6;23;20,82;20
2;46;24;20,89;20
2;47;25;20,89;20
2;26;26;20,92;20
2;79;27;20,97;20
2;35;28;21,06;21
2;88;29;21,46;21
2;17;30;21,95;21
2;18;31;22,06;22
2;56;32;22,13;22
2;10;33;22,17;22
2;16;34;22,19;22
2;63;35;22,19;22
2;53;36;22,23;22
2;3;37;22,23;22
2;56;38;22,27;22
2;60;39;22,27;22
2;49;40;22,29;22
2;90;41;22,33;22
2;5;42;22,38;22
2;46;43;22,47;22
2;40;44;22,56;22
2;80;45;22,65;22
2;33;46;22,71;22
2;66;47;22,75;22
2;73;48;22,76;22
2;70;49;22,77;22
2;53;50;22,81;22
2;1;51;22,82;22
2;95;52;22,87;22
2;36;53;22,88;22
2;63;54;22,90;22
2;18;55;22,95;22
2;91;56;23,05;23
2;28;57;23,05;23
2;74;58;23,06;23
2;27;59;23,06;23
2;65;60;23,06;23
2;81;61;23,14;23
2;53;62;23,19;23
2;4;63;23,20;23
2;62;64;23,38;23
2;18;65;23,41;23
2;11;66;23,42;23
2;58;67;23,44;23
2;39;68;23,52;23
2;86;69;23,53;23
2;53;70;23,55;23
2;90;71;23,57;23
2;88;72;23,61;23
2;31;73;23,65;23
