TenantId;QueryId;ArrivalOrder;ArrivalTime;ArrivalTimeInterval
3;93;1;20,76;20
3;80;2;21,34;21
3;37;3;22,68;22
3;28;4;23,88;23
3;96;5;23,98;23
3;89;6;24,00;24
3;21;7;25,25;25
3;12;8;25,31;25
3;3;9;25,57;25
3;86;10;25,61;25
3;20;11;26,74;26
3;15;12;28,02;28
3;96;13;28,02;28
3;89;14;28,05;28
3;21;15;28,08;28
3;22;16;28,12;28
3;42;17;28,14;28
3;53;18;28,67;28
3;97;19;28,89;28
3;52;20;28,99;28
3;42;21;29,00;29
3;86;22;29,18;29
3;12;23;29,21;29
3;63;24;29,35;29
3;98;25;29,83;29
3;20;26;29,87;29
3;98;27;29,97;29
3;43;28;30,13;30
3;15;29;30,32;30
3;15;30;30,51;30
3;15;31;30,68;30
3;52;32;30,79;30
3;43;33;30,85;30
3;82;34;30,86;30
3;93;35;31,05;31
3;89;36;31,10;31
3;63;37;31,37;31
3;21;38;31,41;31
