tenantName;queryName;timerName;launchTime;startTime;finishTime;relativeLaunchTime;waitingTime;executionTime
tenant1;q86;Timer-0;19:35:20.672;19:35:20.828;19:35:22.062;00:00:00.000;00:00:00.156;00:00:01.234
;q52;Timer-1;19:36:46.173;19:36:46.174;19:36:47.319;00:01:25.501;00:00:00.001;00:00:01.145
;q43;Timer-10;19:43:11.686;19:43:11.687;19:43:12.881;00:07:51.014;00:00:00.001;00:00:01.194
;q15;Timer-11;19:43:11.691;19:43:11.699;19:43:12.230;00:07:51.019;00:00:00.008;00:00:00.531
;q3;Timer-12;19:43:17.689;19:43:17.690;19:43:18.100;00:07:57.017;00:00:00.001;00:00:00.410
;q80;Timer-13;19:43:26.691;19:43:26.692;19:43:28.015;00:08:06.019;00:00:00.001;00:00:01.323
;q37;Timer-14;19:43:38.691;19:43:38.691;19:43:39.319;00:08:18.019;00:00:00.000;00:00:00.628
;q12;Timer-15;19:43:52.195;19:43:52.203;19:43:52.558;00:08:31.523;00:00:00.008;00:00:00.355
;q55;Timer-16;19:44:02.694;19:44:02.695;19:44:03.146;00:08:42.022;00:00:00.001;00:00:00.451
;q12;Timer-17;19:44:08.695;19:44:08.696;19:44:08.917;00:08:48.023;00:00:00.001;00:00:00.221
;q53;Timer-18;19:44:10.194;19:44:10.195;19:44:10.780;00:08:49.522;00:00:00.001;00:00:00.585
;q81;Timer-19;19:44:43.195;19:44:43.196;19:45:22.733;00:09:22.523;00:00:00.001;00:00:39.537
;q97;Timer-2;19:39:59.680;19:39:59.681;19:40:03.906;00:04:39.008;00:00:00.001;00:00:04.225
;q28;Timer-20;19:44:56.695;19:44:56.695;19:45:01.668;00:09:36.023;00:00:00.000;00:00:04.973
;q21;Timer-21;19:44:58.196;19:44:58.201;19:44:59.880;00:09:37.524;00:00:00.005;00:00:01.679
;q63;Timer-22;19:45:14.697;19:45:14.697;19:45:15.268;00:09:54.025;00:00:00.000;00:00:00.571
;q12;Timer-23;19:45:14.699;19:45:14.700;19:45:14.930;00:09:54.027;00:00:00.001;00:00:00.230
;q15;Timer-24;19:45:25.200;19:45:25.200;19:45:25.608;00:10:04.528;00:00:00.000;00:00:00.408
;q21;Timer-25;19:45:50.702;19:45:50.703;19:45:51.661;00:10:30.030;00:00:00.001;00:00:00.958
;q28;Timer-3;19:40:26.681;19:40:26.682;19:40:31.794;00:05:06.009;00:00:00.001;00:00:05.112
;q97;Timer-4;19:40:41.683;19:40:41.684;19:40:45.010;00:05:21.011;00:00:00.001;00:00:03.326
;q96;Timer-5;19:40:46.185;19:40:46.186;19:40:46.650;00:05:25.513;00:00:00.001;00:00:00.464
;q96;Timer-6;19:41:26.687;19:41:26.690;19:41:27.115;00:06:06.015;00:00:00.003;00:00:00.425
;q96;Timer-7;19:41:38.687;19:41:38.688;19:41:39.144;00:06:18.015;00:00:00.001;00:00:00.456
