query_stream_id;query_id;start;relative_start;query_duration;query_duration_with_queue;start_delay;;query_stream_id;query_id;start;relative_start;query_duration;query_duration_with_queue;start_delay
0;20;1733230353687;1680603;1524;2529;0;;0;20;1733264382682;1680603;8322;10225;0
0;10;1733230368416;1695332;1332;2476;0;;0;10;1733264397411;1695332;1551;2529;0
0;18;1733230406041;1732957;1180;2101;0;;0;18;1733264435036;1732957;2382;3737;0
0;22;1733230439481;1766397;940;1853;0;;0;22;1733264468476;1766397;1011;1691;0
0;16;1733230474378;1801294;886;1487;0;;0;16;1733264503374;1801295;1625;2308;1
0;3;1733230537116;1864032;1837;3574;0;;0;3;1733264566112;1864033;1848;3544;1
0;8;1733230556167;1883083;1145;1991;1;;0;8;1733264585162;1883083;1079;1752;1
0;2;1733230595795;1922711;1072;2219;0;;0;2;1733264624790;1922711;1149;1982;0
0;5;1733230623595;1950511;2812;5772;0;;0;5;1733264652590;1950511;2394;4517;0
0;10;1733231193600;2520516;2924;4140;0;;0;10;1733265222595;2520516;1287;2114;0
0;1;1733231243236;2570152;2929;3498;0;;0;1;1733265272231;2570152;1230;2141;0
0;23;1733231280346;2607262;3154;3208;1;;0;23;1733265309340;2607261;911;979;0
0;19;1733231893701;3220617;2776;3307;0;;0;19;1733265922697;3220618;1045;1414;1
0;12;1733231916138;3243054;2699;4295;0;;0;12;1733265945134;3243055;1289;2057;1
0;8;1733231949754;3276670;1329;2795;0;;0;8;1733265978750;3276671;1027;1669;1
1;20;1733230851722;2179009;1479;2671;0;;1;20;1733296682189;2179009;7786;9682;0
1;20;1733230882399;2209686;1204;2215;0;;1;20;1733296712866;2209686;2095;3688;0
1;11;1733230915681;2242968;806;1410;0;;1;11;1733296746148;2242968;1216;1828;0
1;7;1733230919123;2246410;1346;2581;0;;1;7;1733296749590;2246410;1348;2231;0
1;2;1733230947549;2274836;867;1886;0;;1;2;1733296778017;2274837;1239;2097;1
1;21;1733231007199;2334486;3242;5874;1;;1;21;1733296837666;2334486;3189;5239;1
1;23;1733231015460;2342747;882;931;1;;1;23;1733296845926;2342746;970;1044;0
1;3;1733231055108;2382395;2332;4688;0;;1;3;1733296885575;2382395;1982;3285;0
1;3;1733231091817;2419104;3528;5810;0;;1;3;1733296922284;2419104;2016;3541;0
1;21;1733231133576;2460863;4506;7452;1;;1;21;1733296964042;2460862;2079;4067;0
1;5;1733231190138;2517425;4339;10367;1;;1;5;1733297020604;2517424;2386;4610;0
1;16;1733231206613;2533900;1179;2611;0;;1;16;1733297037080;2533900;1505;2192;0
1;11;1733231249087;2576374;2589;3215;1;;1;11;1733297079554;2576374;954;1594;1
1;20;1733231282975;2610262;3487;4742;0;;1;20;1733297113443;2610263;1765;3265;1
1;2;1733231306264;2633551;862;2116;0;;1;2;1733297136731;2633551;1059;1914;0
1;5;1733231361289;2688576;4876;7700;0;;1;5;1733297191756;2688576;2304;4402;0
1;12;1733231405681;2732968;1299;2288;0;;1;12;1733297236148;2732968;1355;2190;0
1;21;1733231412224;2739511;3078;6101;0;;1;21;1733297242691;2739511;11324;13654;0
1;11;1733231449324;2776611;810;2629;0;;1;11;1733297279791;2776611;857;1523;0
1;21;1733231491929;2819216;3486;6784;0;;1;21;1733297322396;2819216;2306;4336;0
1;8;1733231540029;2867316;1210;3073;1;;1;8;1733297370495;2867315;1442;1970;0
2;18;1733228703528;30349;1309;2281;1;;2;18;1733303611132;30348;8164;10666;0
2;15;1733228715748;42569;1733;3377;0;;2;15;1733303623354;42570;2147;3290;1
2;4;1733228736623;63444;1622;3140;0;;2;4;1733303644228;63444;1400;2519;0
2;12;1733228755299;82120;1290;2498;0;;2;12;1733303662904;82120;1476;2792;0
2;12;1733228797653;124474;1323;3384;0;;2;12;1733303705258;124474;1133;1916;0
2;14;1733228844039;170860;731;1337;0;;2;14;1733303751644;170860;848;1165;0
2;2;1733228844059;170880;1124;3503;0;;2;2;1733303751664;170880;1302;3317;0
2;2;1733228851992;178813;825;1838;0;;2;2;1733303759597;178813;830;1928;0
2;13;1733228877104;203925;1264;2372;1;;2;13;1733303784709;203925;1140;1982;1
2;8;1733228910570;237391;1363;2327;0;;2;8;1733303818176;237392;1546;2060;1
2;11;1733228946087;272908;864;1506;1;;2;11;1733303853691;272907;1022;1583;0
2;14;1733228959108;285929;621;1150;0;;2;14;1733303866713;285929;746;1039;0
2;14;1733228967750;294571;670;1121;0;;2;14;1733303875355;294571;674;960;0
2;22;1733228969596;296417;1111;2042;0;;2;22;1733303877201;296417;880;1526;0
2;4;1733228977441;304262;1492;3044;0;;2;4;1733303885046;304262;1220;2351;0
