tenantName;queryName;timerName;launchTime;startTime;finishTime;relativeLaunchTime;waitingTime;executionTime
tenant1;q86;Timer-0;02:16:57.308;02:16:57.496;02:17:00.488;00:00:00.000;00:00:00.188;00:00:02.992
;q52;Timer-1;02:19:48.308;02:19:48.309;02:19:49.025;00:02:51.000;00:00:00.001;00:00:00.716
;q43;Timer-10;02:32:39.311;02:32:39.311;02:32:40.993;00:15:42.003;00:00:00.000;00:00:01.682
;q15;Timer-11;02:32:39.311;02:32:39.312;02:32:39.971;00:15:42.003;00:00:00.001;00:00:00.659
;q3;Timer-12;02:32:51.311;02:32:51.311;02:32:52.020;00:15:54.003;00:00:00.000;00:00:00.709
;q80;Timer-13;02:33:09.311;02:33:09.311;02:33:10.932;00:16:12.003;00:00:00.000;00:00:01.621
;q37;Timer-14;02:33:33.311;02:33:33.312;02:33:38.685;00:16:36.003;00:00:00.001;00:00:05.373
;q12;Timer-15;02:34:00.311;02:34:00.313;02:34:00.651;00:17:03.003;00:00:00.002;00:00:00.338
;q55;Timer-16;02:34:21.312;02:34:21.312;02:34:22.006;00:17:24.004;00:00:00.000;00:00:00.694
;q12;Timer-17;02:34:33.312;02:34:33.312;02:34:33.642;00:17:36.004;00:00:00.000;00:00:00.330
;q53;Timer-18;02:34:36.311;02:34:36.311;02:34:37.273;00:17:39.003;00:00:00.000;00:00:00.962
;q81;Timer-19;02:35:42.312;02:35:42.313;02:35:43.273;00:18:45.004;00:00:00.001;00:00:00.960
;q97;Timer-2;02:26:15.309;02:26:15.310;02:26:31.156;00:09:18.001;00:00:00.001;00:00:15.846
;q28;Timer-20;02:36:09.311;02:36:09.312;02:36:17.042;00:19:12.003;00:00:00.001;00:00:07.730
;q21;Timer-21;02:36:12.312;02:36:12.313;02:36:15.206;00:19:15.004;00:00:00.001;00:00:02.893
;q63;Timer-22;02:36:45.313;02:36:45.313;02:36:46.197;00:19:48.005;00:00:00.000;00:00:00.884
;q12;Timer-23;02:36:45.313;02:36:45.313;02:36:45.645;00:19:48.005;00:00:00.000;00:00:00.332
;q15;Timer-24;02:37:06.313;02:37:06.313;02:37:06.963;00:20:09.005;00:00:00.000;00:00:00.650
;q21;Timer-25;02:37:57.312;02:37:57.313;02:38:00.128;00:21:00.004;00:00:00.001;00:00:02.815
;q28;Timer-3;02:27:09.309;02:27:09.310;02:27:17.107;00:10:12.001;00:00:00.001;00:00:07.797
;q97;Timer-4;02:27:39.310;02:27:39.310;02:27:55.004;00:10:42.002;00:00:00.000;00:00:15.694
;q96;Timer-5;02:27:48.310;02:27:48.319;02:27:49.065;00:10:51.002;00:00:00.009;00:00:00.746
;q96;Timer-6;02:29:09.310;02:29:09.310;02:29:10.018;00:12:12.002;00:00:00.000;00:00:00.708
;q96;Timer-7;02:29:33.309;02:29:33.309;02:29:34.013;00:12:36.001;00:00:00.000;00:00:00.704
;q55;Timer-8;02:31:30.310;02:31:30.311;02:31:31.007;00:14:33.002;00:00:00.001;00:00:00.696
;q52;Timer-9;02:31:48.311;02:31:48.311;02:31:49.013;00:14:51.003;00:00:00.000;00:00:00.702
tenant2;q50;Timer-26;03:24:51.315;03:24:51.323;03:24:51.536;01:07:54.007;00:00:00.008;00:00:00.213
;q98;Timer-27;03:27:15.315;03:27:15.315;03:27:15.474;01:10:18.007;00:00:00.000;00:00:00.159
;q8;Timer-28;03:28:39.315;03:28:39.315;03:28:40.042;01:11:42.007;00:00:00.000;00:00:00.727
;q4;Timer-29;03:34:27.314;03:34:27.314;03:34:35.915;01:17:30.006;00:00:00.000;00:00:08.601
;q6;Timer-30;03:34:54.314;03:34:54.315;03:34:54.634;01:17:57.006;00:00:00.001;00:00:00.319
;q99;Timer-31;03:35:00.315;03:35:00.316;03:35:00.557;01:18:03.007;00:00:00.001;00:00:00.241
;q56;Timer-32;03:35:24.315;03:35:24.316;03:35:24.947;01:18:27.007;00:00:00.001;00:00:00.631
;q48;Timer-33;03:35:30.316;03:35:30.316;03:35:30.747;01:18:33.008;00:00:00.000;00:00:00.431
;q5;Timer-34;03:35:54.316;03:35:54.316;03:35:58.886;01:18:57.008;00:00:00.000;00:00:04.570
;q58;Timer-35;03:36:00.315;03:36:00.315;03:36:00.943;01:19:03.007;00:00:00.000;00:00:00.628
;q85;Timer-36;03:36:12.316;03:36:12.316;03:36:12.784;01:19:15.008;00:00:00.000;00:00:00.468
;q23;Timer-37;03:36:45.324;03:36:45.329;03:36:56.146;01:19:48.016;00:00:00.005;00:00:10.817
;q16;Timer-38;03:36:45.324;03:36:45.324;03:36:45.337;01:19:48.016;00:00:00.000;00:00:00.013
;q96;Timer-39;03:36:51.317;03:36:51.317;03:36:51.445;01:19:54.009;00:00:00.000;00:00:00.128
;q24;Timer-40;03:36:54.317;03:36:54.317;03:36:54.373;01:19:57.009;00:00:00.000;00:00:00.056
;q25;Timer-41;03:37:00.317;03:37:00.317;03:37:00.571;01:20:03.009;00:00:00.000;00:00:00.254
;q79;Timer-42;03:37:12.317;03:37:12.317;03:37:12.854;01:20:15.009;00:00:00.000;00:00:00.537
;q11;Timer-43;03:37:18.318;03:37:18.318;03:37:23.131;01:20:21.010;00:00:00.000;00:00:04.813
;q93;Timer-44;03:43:51.317;03:43:51.318;03:43:51.327;01:26:54.009;00:00:00.001;00:00:00.009
;q55;Timer-45;03:49:27.318;03:49:27.319;03:49:27.435;01:32:30.010;00:00:00.001;00:00:00.116
;q15;Timer-46;03:54:42.319;03:54:42.319;03:54:42.440;01:37:45.011;00:00:00.000;00:00:00.121
;q13;Timer-47;04:00:57.319;04:00:57.319;04:00:57.716;01:44:00.011;00:00:00.000;00:00:00.397
;q6;Timer-48;04:01:03.319;04:01:03.320;04:01:03.637;01:44:06.011;00:00:00.001;00:00:00.317
