tenantName;queryName;timerName;launchTime;startTime;finishTime;relativeLaunchTime;waitingTime;executionTime
tenant1;q86;Timer-0;05:55:53.118;05:55:53.261;05:55:56.205;00:00:00.000;00:00:00.143;00:00:02.944
;q52;Timer-1;05:56:27.318;05:56:27.319;05:56:28.028;00:00:34.200;00:00:00.001;00:00:00.709
;q43;Timer-10;05:59:01.520;05:59:01.520;05:59:03.206;00:03:08.402;00:00:00.000;00:00:01.686
;q15;Timer-11;05:59:01.520;05:59:01.521;05:59:02.177;00:03:08.402;00:00:00.001;00:00:00.656
;q3;Timer-12;05:59:03.920;05:59:03.920;05:59:04.619;00:03:10.802;00:00:00.000;00:00:00.699
;q80;Timer-13;05:59:07.520;05:59:07.521;05:59:09.164;00:03:14.402;00:00:00.001;00:00:01.643
;q37;Timer-14;05:59:12.321;05:59:12.321;05:59:17.661;00:03:19.203;00:00:00.000;00:00:05.340
;q12;Timer-15;05:59:17.721;05:59:17.722;05:59:18.058;00:03:24.603;00:00:00.001;00:00:00.336
;q55;Timer-16;05:59:21.921;05:59:21.921;05:59:22.611;00:03:28.803;00:00:00.000;00:00:00.690
;q12;Timer-17;05:59:24.320;05:59:24.320;05:59:24.644;00:03:31.202;00:00:00.000;00:00:00.324
;q53;Timer-18;05:59:24.920;05:59:24.920;05:59:25.851;00:03:31.802;00:00:00.000;00:00:00.931
;q81;Timer-19;05:59:38.122;05:59:38.122;05:59:39.079;00:03:45.004;00:00:00.000;00:00:00.957
;q97;Timer-2;05:57:44.718;05:57:44.719;05:57:59.558;00:01:51.600;00:00:00.001;00:00:14.839
;q28;Timer-20;05:59:43.521;05:59:43.521;05:59:51.275;00:03:50.403;00:00:00.000;00:00:07.754
;q21;Timer-21;05:59:44.122;05:59:44.122;05:59:47.003;00:03:51.004;00:00:00.000;00:00:02.881
;q63;Timer-22;05:59:50.722;05:59:50.729;05:59:51.628;00:03:57.604;00:00:00.007;00:00:00.899
;q12;Timer-23;05:59:50.721;05:59:50.721;05:59:51.053;00:03:57.603;00:00:00.000;00:00:00.332
;q15;Timer-24;05:59:54.922;05:59:54.923;05:59:55.576;00:04:01.804;00:00:00.001;00:00:00.653
;q21;Timer-25;06:00:05.122;06:00:05.123;06:00:07.939;00:04:12.004;00:00:00.001;00:00:02.816
;q28;Timer-3;05:57:55.519;05:57:55.526;05:58:03.233;00:02:02.401;00:00:00.007;00:00:07.707
;q97;Timer-4;05:58:01.519;05:58:01.520;05:58:16.615;00:02:08.401;00:00:00.001;00:00:15.095
;q96;Timer-5;05:58:03.318;05:58:03.319;05:58:04.044;00:02:10.200;00:00:00.001;00:00:00.725
;q96;Timer-6;05:58:19.519;05:58:19.520;05:58:20.241;00:02:26.401;00:00:00.001;00:00:00.721
;q96;Timer-7;05:58:24.319;05:58:24.320;05:58:25.025;00:02:31.201;00:00:00.001;00:00:00.705
;q55;Timer-8;05:58:47.720;05:58:47.720;05:58:48.413;00:02:54.602;00:00:00.000;00:00:00.693
;q52;Timer-9;05:58:51.320;05:58:51.320;05:58:52.011;00:02:58.202;00:00:00.000;00:00:00.691
