tenantName;queryName;timerName;launchTime;startTime;finishTime;relativeLaunchTime;waitingTime;executionTime
tenant1;q86;Timer-0;06:53:38.683;06:53:38.829;06:53:41.815;00:00:00.000;00:00:00.146;00:00:02.986
;q52;Timer-1;06:53:52.934;06:53:52.935;06:53:53.641;00:00:14.251;00:00:00.001;00:00:00.706
;q43;Timer-10;06:54:57.184;06:54:57.184;06:54:58.882;00:01:18.501;00:00:00.000;00:00:01.698
;q15;Timer-11;06:54:57.185;06:54:57.186;06:54:57.842;00:01:18.502;00:00:00.001;00:00:00.656
;q3;Timer-12;06:54:58.185;06:54:58.186;06:54:58.890;00:01:19.502;00:00:00.001;00:00:00.704
;q80;Timer-13;06:54:59.685;06:54:59.686;06:55:01.290;00:01:21.002;00:00:00.001;00:00:01.604
;q37;Timer-14;06:55:01.685;06:55:01.686;06:55:07.073;00:01:23.002;00:00:00.001;00:00:05.387
;q12;Timer-15;06:55:03.936;06:55:03.937;06:55:04.274;00:01:25.253;00:00:00.001;00:00:00.337
;q55;Timer-16;06:55:05.686;06:55:05.686;06:55:06.420;00:01:27.003;00:00:00.000;00:00:00.734
;q12;Timer-17;06:55:06.686;06:55:06.686;06:55:07.012;00:01:28.003;00:00:00.000;00:00:00.326
;q53;Timer-18;06:55:06.935;06:55:06.936;06:55:07.894;00:01:28.252;00:00:00.001;00:00:00.958
;q81;Timer-19;06:55:12.437;06:55:12.437;06:55:13.406;00:01:33.754;00:00:00.000;00:00:00.969
;q97;Timer-2;06:54:25.184;06:54:25.184;06:54:38.522;00:00:46.501;00:00:00.000;00:00:13.338
;q28;Timer-20;06:55:14.686;06:55:14.686;06:55:22.405;00:01:36.003;00:00:00.000;00:00:07.719
;q21;Timer-21;06:55:14.937;06:55:14.938;06:55:17.824;00:01:36.254;00:00:00.001;00:00:02.886
;q63;Timer-22;06:55:17.688;06:55:17.688;06:55:18.589;00:01:39.005;00:00:00.000;00:00:00.901
;q12;Timer-23;06:55:17.688;06:55:17.688;06:55:18.026;00:01:39.005;00:00:00.000;00:00:00.338
;q15;Timer-24;06:55:19.438;06:55:19.438;06:55:20.087;00:01:40.755;00:00:00.000;00:00:00.649
;q21;Timer-25;06:55:23.688;06:55:23.689;06:55:26.498;00:01:45.005;00:00:00.001;00:00:02.809
;q28;Timer-3;06:54:29.684;06:54:29.692;06:54:37.576;00:00:51.001;00:00:00.008;00:00:07.884
;q97;Timer-4;06:54:32.184;06:54:32.191;06:54:45.564;00:00:53.501;00:00:00.007;00:00:13.373
;q96;Timer-5;06:54:32.934;06:54:32.941;06:54:33.702;00:00:54.251;00:00:00.007;00:00:00.761
