TenantId;QueryId;ArrivalOrder;ArrivalTime;ArrivalTimeInterval
5;15;1;27,32;27
5;98;2;27,82;27
5;42;3;28,11;28
5;96;4;28,45;28
5;89;5;28,53;28
5;41;6;28,53;28
5;89;7;28,71;28
5;86;8;28,74;28
5;55;9;28,91;28
5;97;10;28,91;28
5;89;11;28,98;28
5;22;12;29,13;29
5;15;13;29,37;29
5;93;14;29,73;29
5;53;15;30,15;30
5;52;16;31,88;31
5;12;17;32,40;32
5;52;18;32,56;32
5;53;19;32,64;32
5;41;20;32,65;32
5;28;21;32,84;32
5;20;22;32,89;32
5;28;23;33,10;33
5;53;24;33,12;33
5;22;25;33,22;33
5;81;26;33,44;33
5;36;27;33,89;33
5;37;28;33,90;33
5;42;29;33,92;33
5;53;30;33,94;33
5;97;31;33,94;33
5;3;32;34,29;34
5;22;33;34,65;34
5;81;34;34,80;34
5;28;35;34,80;34
5;20;36;34,95;34
