tenantName;queryName;timerName;event;TimeStamp
tenant1;q86;Timer-0_tenant1;Launched;16:17:23.227
tenant1;q86;Timer-0_tenant1;Started;16:17:23.227
tenant1;q52;Timer-1_tenant1;Launched;16:17:24.542
tenant1;q52;Timer-1_tenant1;Started;16:17:24.542
tenant1;q97;Timer-2_tenant1;Launched;16:17:27.519
tenant1;q97;Timer-2_tenant1;Started;16:17:27.519
tenant1;q28;Timer-3_tenant1;Launched;16:17:27.934
tenant1;q97;Timer-4_tenant1;Launched;16:17:28.165
tenant1;q96;Timer-5_tenant1;Launched;16:17:28.235
tenant1;q96;Timer-6_tenant1;Launched;16:17:28.858
tenant1;q96;Timer-7_tenant1;Launched;16:17:29.043
tenant1;q55;Timer-8_tenant1;Launched;16:17:29.942
tenant1;q52;Timer-9_tenant1;Launched;16:17:30.081
tenant1;q43;Timer-10_tenant1;Launched;16:17:30.474
tenant1;q15;Timer-11_tenant1;Launched;16:17:30.474
tenant1;q3;Timer-12_tenant1;Launched;16:17:30.566
tenant1;q80;Timer-13_tenant1;Launched;16:17:30.705
tenant1;q37;Timer-14_tenant1;Launched;16:17:30.890
tenant1;q12;Timer-15_tenant1;Launched;16:17:31.098
tenant1;q55;Timer-16_tenant1;Launched;16:17:31.259
tenant1;q12;Timer-17_tenant1;Launched;16:17:31.352
tenant1;q53;Timer-18_tenant1;Launched;16:17:31.375
tenant1;q81;Timer-19_tenant1;Launched;16:17:31.885
tenant1;q28;Timer-20_tenant1;Launched;16:17:32.093
tenant1;q21;Timer-21_tenant1;Launched;16:17:32.117
tenant1;q63;Timer-22_tenant1;Launched;16:17:32.371
tenant1;q12;Timer-23_tenant1;Launched;16:17:32.371
tenant1;q15;Timer-24_tenant1;Launched;16:17:32.533
tenant1;q21;Timer-25_tenant1;Launched;16:17:32.925
tenant1;q52;Timer-1_tenant1;Finished;16:17:34.081
tenant1;q28;Timer-3_tenant1;Started;16:17:34.082
tenant1;q97;Timer-2_tenant1;Finished;16:17:37.518
tenant1;q97;Timer-4_tenant1;Started;16:17:37.518
tenant1;q86;Timer-0_tenant1;Finished;16:17:37.790
tenant1;q96;Timer-5_tenant1;Started;16:17:37.790
tenant1;q28;Timer-3_tenant1;Finished;16:17:40.016
tenant1;q96;Timer-6_tenant1;Started;16:17:40.016
tenant1;q96;Timer-5_tenant1;Finished;16:17:40.201
tenant1;q96;Timer-7_tenant1;Started;16:17:40.201
tenant1;q96;Timer-6_tenant1;Finished;16:17:40.682
tenant1;q55;Timer-8_tenant1;Started;16:17:40.682
tenant1;q96;Timer-7_tenant1;Finished;16:17:40.729
tenant1;q52;Timer-9_tenant1;Started;16:17:40.729
tenant1;q52;Timer-9_tenant1;Finished;16:17:41.761
tenant1;q43;Timer-10_tenant1;Started;16:17:41.762
tenant1;q55;Timer-8_tenant1;Finished;16:17:42.399
tenant1;q15;Timer-11_tenant1;Started;16:17:42.400
tenant1;q43;Timer-10_tenant1;Finished;16:17:43.260
tenant1;q3;Timer-12_tenant1;Started;16:17:43.260
tenant1;q97;Timer-4_tenant1;Finished;16:17:43.591
tenant1;q80;Timer-13_tenant1;Started;16:17:43.591
tenant1;q3;Timer-12_tenant1;Finished;16:17:44.141
tenant1;q37;Timer-14_tenant1;Started;16:17:44.142
tenant1;q15;Timer-11_tenant1;Finished;16:17:44.576
