tenantName;queryName;timerName;event;TimeStamp
tenant1;q86;Timer-0_tenant1;Launched;17:04:47.885
tenant1;q86;Timer-0_tenant1;Started;17:04:47.885
tenant1;q52;Timer-1_tenant1;Launched;17:04:48.740
tenant1;q52;Timer-1_tenant1;Started;17:04:48.741
tenant1;q97;Timer-2_tenant1;Launched;17:04:50.675
tenant1;q97;Timer-2_tenant1;Started;17:04:50.676
tenant1;q28;Timer-3_tenant1;Launched;17:04:50.945
tenant1;q97;Timer-4_tenant1;Launched;17:04:51.095
tenant1;q96;Timer-5_tenant1;Launched;17:04:51.141
tenant1;q96;Timer-6_tenant1;Launched;17:04:51.545
tenant1;q96;Timer-7_tenant1;Launched;17:04:51.666
tenant1;q55;Timer-8_tenant1;Launched;17:04:52.251
tenant1;q52;Timer-9_tenant1;Launched;17:04:52.341
tenant1;q15;Timer-11_tenant1;Launched;17:04:52.597
tenant1;q43;Timer-10_tenant1;Launched;17:04:52.597
tenant1;q3;Timer-12_tenant1;Launched;17:04:52.657
tenant1;q80;Timer-13_tenant1;Launched;17:04:52.747
tenant1;q37;Timer-14_tenant1;Launched;17:04:52.867
tenant1;q12;Timer-15_tenant1;Launched;17:04:53.003
tenant1;q55;Timer-16_tenant1;Launched;17:04:53.108
tenant1;q12;Timer-17_tenant1;Launched;17:04:53.168
tenant1;q53;Timer-18_tenant1;Launched;17:04:53.183
tenant1;q81;Timer-19_tenant1;Launched;17:04:53.514
tenant1;q28;Timer-20_tenant1;Launched;17:04:53.648
tenant1;q21;Timer-21_tenant1;Launched;17:04:53.665
tenant1;q63;Timer-22_tenant1;Launched;17:04:53.832
tenant1;q12;Timer-23_tenant1;Launched;17:04:53.832
tenant1;q15;Timer-24_tenant1;Launched;17:04:53.938
tenant1;q21;Timer-25_tenant1;Launched;17:04:54.193
tenant1;q52;Timer-1_tenant1;Finished;17:04:59.319
tenant1;q28;Timer-3_tenant1;Started;17:04:59.320
tenant1;q97;Timer-2_tenant1;Finished;17:05:02.540
tenant1;q97;Timer-4_tenant1;Started;17:05:02.540
tenant1;q86;Timer-0_tenant1;Finished;17:05:02.751
tenant1;q96;Timer-5_tenant1;Started;17:05:02.751
tenant1;q28;Timer-3_tenant1;Finished;17:05:03.785
tenant1;q96;Timer-6_tenant1;Started;17:05:03.785
tenant1;q96;Timer-5_tenant1;Finished;17:05:04.061
tenant1;q96;Timer-7_tenant1;Started;17:05:04.061
tenant1;q96;Timer-7_tenant1;Finished;17:05:04.780
