TenantName;QueryNumber;ThreadName;Event;TimeStamp
tenant4;q59;Timer-0;Launched;08:51:06.624
tenant4;q59;Timer-0;Started;08:51:06.625
tenant4;q4;Timer-1;Launched;08:51:09.150
tenant4;q4;Timer-1;Started;08:51:09.151
tenant4;q11;Timer-2;Launched;08:51:09.892
tenant4;q11;Timer-2;Started;08:51:09.892
tenant4;q4;Timer-3;Launched;08:51:10.761
tenant4;q54;Timer-4;Launched;08:51:11.187
tenant4;q18;Timer-5;Launched;08:51:11.267
tenant4;q14;Timer-6;Launched;08:51:13.809
tenant4;q49;Timer-7;Launched;08:51:14.030
tenant4;q8;Timer-8;Launched;08:51:15.069
tenant4;q29;Timer-9;Launched;08:51:15.121
tenant4;q33;Timer-10;Launched;08:51:17.157
tenant4;q14;Timer-11;Launched;08:51:18.112
tenant4;q11;Timer-12;Launched;08:51:19.858
tenant4;q59;Timer-0;Finished;08:51:21.129
tenant4;q4;Timer-1;Finished;08:51:21.129
tenant4;q11;Timer-2;Finished;08:51:21.130
tenant4;q54;Timer-4;Started;08:51:21.130
tenant4;q4;Timer-3;Started;08:51:21.130
tenant4;q18;Timer-5;Started;08:51:21.130
tenant4;q33;Timer-13;Launched;08:51:21.452
tenant4;q54;Timer-14;Launched;08:51:21.500
tenant4;q48;Timer-15;Launched;08:51:23.124
tenant4;q54;Timer-4;Finished;08:51:25.963
tenant4;q14;Timer-6;Started;08:51:25.964
tenant4;q18;Timer-5;Finished;08:51:26.262
tenant4;q49;Timer-7;Started;08:51:26.262
tenant4;q4;Timer-3;Finished;08:51:26.322
tenant4;q8;Timer-8;Started;08:51:26.322
tenant4;q8;Timer-16;Launched;08:51:27.028
tenant4;q39;Timer-17;Launched;08:51:28.244
tenant4;q31;Timer-18;Launched;08:51:28.892
tenant4;q56;Timer-19;Launched;08:51:29.204
tenant4;q8;Timer-8;Finished;08:51:30.401
tenant4;q29;Timer-9;Started;08:51:30.401
tenant4;q49;Timer-7;Finished;08:51:30.521
tenant4;q33;Timer-10;Started;08:51:30.521
tenant4;q44;Timer-20;Launched;08:51:30.836
tenant4;q25;Timer-21;Launched;08:51:31.309
tenant4;q33;Timer-10;Finished;08:51:33.611
tenant4;q14;Timer-11;Started;08:51:33.611
tenant4;q29;Timer-9;Finished;08:51:34.724
tenant4;q11;Timer-12;Started;08:51:34.724
tenant4;q56;Timer-22;Launched;08:51:35.072
tenant4;q18;Timer-23;Launched;08:51:35.210
tenant4;q24;Timer-24;Launched;08:51:36.157
tenant4;q48;Timer-25;Launched;08:51:39.347
tenant4;q4;Timer-26;Launched;08:51:41.086
tenant4;q14;Timer-27;Launched;08:51:41.401
tenant4;q8;Timer-28;Launched;08:51:41.607
tenant4;q11;Timer-29;Launched;08:51:41.864
tenant4;q49;Timer-30;Launched;08:51:41.970
tenant4;q9;Timer-31;Launched;08:51:42.049
tenant4;q46;Timer-32;Launched;08:51:43.549
tenant4;q49;Timer-33;Launched;08:51:44.481
tenant4;q29;Timer-34;Launched;08:51:44.813
tenant4;q46;Timer-35;Launched;08:51:46.867
tenant4;q31;Timer-36;Launched;08:51:47.309
tenant4;q56;Timer-37;Launched;08:51:50.530
tenant4;q46;Timer-38;Launched;08:51:50.751
tenant4;q13;Timer-39;Launched;08:51:52.947
tenant4;q49;Timer-40;Launched;08:51:55.693
tenant4;q39;Timer-41;Launched;08:51:57.794
tenant4;q18;Timer-42;Launched;08:51:57.810
tenant4;q24;Timer-43;Launched;08:51:57.841
tenant4;q59;Timer-44;Launched;08:52:01.395
tenant4;q17;Timer-45;Launched;08:52:04.568
tenant4;q49;Timer-46;Launched;08:52:05.469
tenant4;q58;Timer-47;Launched;08:52:06.017
tenant4;q11;Timer-12;Finished;08:52:06.017
tenant4;q33;Timer-13;Started;08:52:06.018
tenant4;q33;Timer-13;Finished;08:52:10.897
tenant4;q54;Timer-14;Started;08:52:10.897
tenant4;q54;Timer-14;Finished;08:52:12.908
tenant4;q48;Timer-15;Started;08:52:12.908
tenant4;q14;Timer-6;Finished;08:52:14.194
tenant4;q8;Timer-16;Started;08:52:14.194
tenant4;q48;Timer-15;Finished;08:52:15.741
tenant4;q39;Timer-17;Started;08:52:15.741
tenant4;q8;Timer-16;Finished;08:52:17.151
tenant4;q31;Timer-18;Started;08:52:17.151
tenant4;q31;Timer-18;Finished;08:52:22.113
tenant4;q56;Timer-19;Started;08:52:22.113
tenant4;q39;Timer-17;Finished;08:52:23.791
tenant4;q44;Timer-20;Started;08:52:23.792
tenant4;q14;Timer-11;Finished;08:52:24.082
tenant4;q25;Timer-21;Started;08:52:24.082
tenant4;q56;Timer-19;Finished;08:52:25.120
tenant4;q56;Timer-22;Started;08:52:25.120
tenant4;q44;Timer-20;Finished;08:52:27.084
tenant4;q18;Timer-23;Started;08:52:27.084
tenant4;q56;Timer-22;Finished;08:52:27.351
tenant4;q24;Timer-24;Started;08:52:27.352
tenant4;q25;Timer-21;Finished;08:52:27.408
tenant4;q48;Timer-25;Started;08:52:27.408
tenant4;q24;Timer-24;Finished;08:52:28.003
tenant4;q4;Timer-26;Started;08:52:28.003
tenant4;q48;Timer-25;Finished;08:52:29.146
tenant4;q14;Timer-27;Started;08:52:29.146
tenant4;q18;Timer-23;Finished;08:52:31.917
tenant4;q8;Timer-28;Started;08:52:31.917
tenant4;q4;Timer-26;Finished;08:52:35.618
tenant4;q11;Timer-29;Started;08:52:35.618
tenant4;q8;Timer-28;Finished;08:52:36.556
tenant4;q49;Timer-30;Started;08:52:36.556
tenant4;q11;Timer-29;Finished;08:52:39.890
tenant4;q9;Timer-31;Started;08:52:39.890
tenant4;q49;Timer-30;Finished;08:52:42.237
tenant4;q46;Timer-32;Started;08:52:42.237
tenant4;q9;Timer-31;Finished;08:52:42.253
tenant4;q49;Timer-33;Started;08:52:42.253
tenant4;q46;Timer-32;Finished;08:52:44.996
tenant4;q29;Timer-34;Started;08:52:44.997
tenant4;q49;Timer-33;Finished;08:52:45.798
tenant4;q46;Timer-35;Started;08:52:45.798
tenant4;q46;Timer-35;Finished;08:52:48.297
tenant4;q31;Timer-36;Started;08:52:48.297
tenant4;q29;Timer-34;Finished;08:52:48.337
tenant4;q56;Timer-37;Started;08:52:48.337
tenant4;q56;Timer-37;Finished;08:52:53.166
tenant4;q46;Timer-38;Started;08:52:53.167
tenant4;q31;Timer-36;Finished;08:52:53.192
tenant4;q13;Timer-39;Started;08:52:53.192
tenant4;q14;Timer-27;Finished;08:52:53.340
tenant4;q49;Timer-40;Started;08:52:53.340
tenant4;q13;Timer-39;Finished;08:52:55.832
tenant4;q39;Timer-41;Started;08:52:55.832
tenant4;q46;Timer-38;Finished;08:52:55.894
tenant4;q18;Timer-42;Started;08:52:55.894
tenant4;q49;Timer-40;Finished;08:52:57.442
tenant4;q24;Timer-43;Started;08:52:57.443
tenant4;q24;Timer-43;Finished;08:52:58.138
tenant4;q59;Timer-44;Started;08:52:58.138
tenant4;q18;Timer-42;Finished;08:52:58.350
tenant4;q17;Timer-45;Started;08:52:58.350
tenant4;q59;Timer-44;Finished;08:53:00.001
tenant4;q49;Timer-46;Started;08:53:00.001
tenant4;q39;Timer-41;Finished;08:53:01.333
tenant4;q58;Timer-47;Started;08:53:01.333
tenant4;q17;Timer-45;Finished;08:53:01.615
tenant4;q49;Timer-46;Finished;08:53:03.225
tenant4;q58;Timer-47;Finished;08:53:03.248
