queryId;execTime
1;1851
10;2238
11;69892
12;324
13;2599
14;22572
15;612
16;16278
17;1222
18;1452
19;848
2;22618
20;516
21;2831
22;103374
23;50850
24;1430
25;1211
26;777
27;1367
28;7695
29;1529
3;698
30;597
31;5916
32;700
33;1591
34;1416
35;8417
36;11934
37;5388
38;24352
39;68111
4;89240
40;489
41;41230
42;701
43;1661
44;664
45;455
46;2669
47;9122
48;2619
49;3092
5;20421
50;2040
51;19274
52;713
53;954
54;9413
55;683
56;1545
57;5979
58;1658
59;4843
6;926
60;1763
61;1797
62;851
63;863
64;6630
65;9796
66;918
67;52709
68;1374
69;618
7;1247
70;5535
71;1308
72;50033
73;1134
74;12590
75;7808
76;1219
77;1505
78;103969
79;2781
8;2680
80;1592
81;934
82;5102
83;405
84;390
85;1310
86;2942
87;25005
88;5666
89;1436
9;8744
90;533
91;403
92;458
93;4
94;1260
95;116779
96;694
97;15495
98;894
99;1949
