query_stream_id;query_id;start;relative_start;query_duration;query_duration_with_queue;start_delay
0;20;1733230353687;1680603;1524;2529;0
0;10;1733230368416;1695332;1332;2476;0
0;18;1733230406041;1732957;1180;2101;0
0;22;1733230439481;1766397;940;1853;0
0;16;1733230474378;1801294;886;1487;0
0;3;1733230537116;1864032;1837;3574;0
0;8;1733230556167;1883083;1145;1991;1
0;2;1733230595795;1922711;1072;2219;0
0;5;1733230623595;1950511;2812;5772;0
0;10;1733231193600;2520516;2924;4140;0
0;1;1733231243236;2570152;2929;3498;0
0;23;1733231280346;2607262;3154;3208;1
0;19;1733231893701;3220617;2776;3307;0
0;12;1733231916138;3243054;2699;4295;0
0;8;1733231949754;3276670;1329;2795;0
1;20;1733230851722;2179009;1479;2671;0
1;20;1733230882399;2209686;1204;2215;0
1;11;1733230915681;2242968;806;1410;0
1;7;1733230919123;2246410;1346;2581;0
1;2;1733230947549;2274836;867;1886;0
1;21;1733231007199;2334486;3242;5874;1
1;23;1733231015460;2342747;882;931;1
1;3;1733231055108;2382395;2332;4688;0
1;3;1733231091817;2419104;3528;5810;0
1;21;1733231133576;2460863;4506;7452;1
1;5;1733231190138;2517425;4339;10367;1
1;16;1733231206613;2533900;1179;2611;0
1;11;1733231249087;2576374;2589;3215;1
1;20;1733231282975;2610262;3487;4742;0
1;2;1733231306264;2633551;862;2116;0
1;5;1733231361289;2688576;4876;7700;0
1;12;1733231405681;2732968;1299;2288;0
1;21;1733231412224;2739511;3078;6101;0
1;11;1733231449324;2776611;810;2629;0
1;21;1733231491929;2819216;3486;6784;0
1;8;1733231540029;2867316;1210;3073;1
2;18;1733228703528;30349;1309;2281;1
2;15;1733228715748;42569;1733;3377;0
2;4;1733228736623;63444;1622;3140;0
2;12;1733228755299;82120;1290;2498;0
2;12;1733228797653;124474;1323;3384;0
2;14;1733228844039;170860;731;1337;0
2;2;1733228844059;170880;1124;3503;0
2;2;1733228851992;178813;825;1838;0
2;13;1733228877104;203925;1264;2372;1
2;8;1733228910570;237391;1363;2327;0
2;11;1733228946087;272908;864;1506;1
2;14;1733228959108;285929;621;1150;0
2;14;1733228967750;294571;670;1121;0
2;22;1733228969596;296417;1111;2042;0
2;4;1733228977441;304262;1492;3044;0
2;5;1733228991638;318459;3631;6425;1
2;14;1733228997891;324712;580;1177;0
2;1;1733229012486;339307;992;1637;0
2;15;1733229012803;339624;1378;3265;0
2;8;1733229047156;373977;1409;2309;0
2;7;1733229072435;399256;1281;2246;0
2;6;1733229118601;445422;328;518;0
2;16;1733229123118;449939;1237;1883;0
2;9;1733229137175;463996;1545;2729;1
2;18;1733229165134;491955;1065;1974;0
2;21;1733229191873;518694;4370;7952;0
2;2;1733229230845;557666;1309;2201;0
2;16;1733229243937;570758;862;1462;0
2;7;1733229266330;593151;2041;3390;0
2;19;1733229268461;595282;1023;2626;1
2;5;1733229278522;605343;2876;5624;0
2;19;1733229292184;619005;321;700;1
2;6;1733229297498;624319;319;569;0
2;10;1733229303414;630235;1197;2406;0
2;4;1733229339605;666426;1584;2885;0
2;9;1733229362409;689230;1425;2549;1
2;18;1733229400875;727696;2059;3252;0
2;2;1733229403429;730250;848;2478;0
